phone,phone,1.29786,0.230148,0.290323,0.297997,1.11616,1.54182,2.46279,3.23547,0.00585476,0.767538,21339.6
eyedrops,eyedrops,1.80661,0.322271,0.424211,0.304552,0.886921,2.58216,3.10803,1.62749,0.0150613,0.860703,17527.5
lipstick,lipstick,4.35268,0.902831,0.950824,0.415267,0.921394,5.37226,5.80382,2.04726,0.0296981,0.902237,19599.5
mouse,mouse,1.16239,0.0863619,0.104632,-0.372047,0.0544016,1.23213,-0.343939,3.88151,0.0098026,0.810693,21535.2
holder,holder,1.03216,0.697592,0.867994,0.768606,2.81139,4.31311,5.39315,10.7457,0.0187004,0.867259,23310.6
lipstick,lipstick,4.00497,0.923888,0.968975,0.435771,0.971046,3.89541,4.21811,3.06517,0.0223224,0.849798,18151.4
lipstick,eyedrops,2.85243,0.296742,0.318808,0.0168874,0.25813,1.67997,1.63397,1.37435,0.0232055,0.881971,20579.6
mouse,mouse,1.39604,0.0872763,0.104866,-0.432776,-0.0231969,0.121641,1.72884,6.71378,0.00980051,0.791619,20060.3
mouse,eyedrops,1.52738,0.790492,0.98932,0.751143,2.25116,3.96672,5.26929,3.46958,0.00839835,0.810599,19523.7
holder,holder,1.013,0.761147,0.890628,0.774578,3.12891,5.06745,5.33478,6.75608,0.0109828,0.816123,19789.2
holder,holder,1.20258,0.178371,0.190546,-0.021789,3.38265,0.728968,2.50004,17.2221,0.0102861,0.790528,20682.7
phone,lipstick,2.0792,0.917859,0.984257,0.68336,1.79939,4.21691,5.35142,3.60236,0.00799009,0.804003,19289.4
phone,eyedrops,1.29786,0.230148,0.290323,0.297997,1.11616,1.54182,2.46279,3.23547,0.00585476,0.767538,21339.6
eyedrops,eyedrops,1.27604,0.318309,0.4141,0.480969,1.60391,1.98968,2.14324,1.2555,0.0127114,0.860009,17262.2
eyedrops,eyedrops,1.69191,0.72389,0.908763,0.73987,2.2072,3.50333,4.47895,1.2555,0.0127114,0.860009,17262.2
